WordNo,Translation,AgeOfAcq,CumulOtherWords,WordCategory,BroadCategory,FreqCorpus,ParentFreq
'etterpå','afterwords',25,360,NA,NA,36076,29
'før','before',30,580,NA,NA,598533,41
'formiddag','morning',NA,NA,NA,NA,14515,2
'i dag','today',27,440,NA,NA,394236,2
'i går','yesterday',30,580,NA,NA,83408,7
'i kveld','tonight',32,620,NA,NA,2709,2
'i morgen','tomorrow',28,460,NA,NA,37720,7
'en kveld','evening',28,520,NA,NA,123627,2
'morgen','morning',28,520,NA,NA,46248,2
'nå','now',25,400,NA,NA,1120297,461
'ei natt','night',24,260,NA,NA,73005,4
'senere','later',30,580,NA,NA,125096,1
'ei tid','time',NA,660,NA,NA,644085,11
'de','they',32,600,closed-class items,closed-class,2911837,481
'deg','you (sg)',28,460,closed-class items,closed-class,654317,8
'deg selv','yourself',NA,NA,closed-class items,closed-class,33409,1
'dem','them',36,660,closed-class items,closed-class,462725,39
'den','it/that',22,240,closed-class items,closed-class,3864873,1619
'denne','this',25,360,closed-class items,closed-class,1053753,31
'dere','you (pl)',31,580,closed-class items,closed-class,406134,53
'deres','your(s) (pl)/their(s)',34,660,closed-class items,closed-class,201042,3
'det','it/that',26,420,closed-class items,closed-class,11278389,4917
'dette','this',30,580,closed-class items,closed-class,2010675,100
'din','your(s) (sg)',24,280,closed-class items,closed-class,304988,234
'disse','these',33,620,closed-class items,closed-class,492410,17
'du','you (sg)',25,360,closed-class items,closed-class,2804710,3448
'ham','him',NA,NA,closed-class items,closed-class,172668,3
'han','he',26,440,closed-class items,closed-class,2209568,855
'hans','his',32,620,closed-class items,closed-class,261100,10
'henne','her',35,660,closed-class items,closed-class,170695,12
'hennes','her(s)',34,640,closed-class items,closed-class,120798,3
'hun','she',28,520,closed-class items,closed-class,1000080,238
'hverandre','each other',36,660,closed-class items,closed-class,101055,15
'jeg','I',24,320,closed-class items,closed-class,4816307,906
'man','one',NA,NA,closed-class items,closed-class,1383204,55
'meg','me',25,380,closed-class items,closed-class,1000527,2
'meg selv','myself',35,660,closed-class items,closed-class,25540,1
'min','my/mine',19,100,closed-class items,closed-class,496463,45
'oss','us',30,580,closed-class items,closed-class,600133,26
'seg','himself/herself',32,620,closed-class items,closed-class,2050589,95
'seg selv','himself/herself',NA,NA,closed-class items,closed-class,130150,1
'sin','his/her',25,360,closed-class items,closed-class,1393825,123
'vår','our(s)',30,560,closed-class items,closed-class,499327,14
'vi','we',28,520,closed-class items,closed-class,3387355,1111
'hva','what',26,420,closed-class items,closed-class,859118,1533
'hvem','who',28,520,closed-class items,closed-class,159251,131
'hvilken','which',35,660,closed-class items,closed-class,240992,70
'hvor','where',26,420,closed-class items,closed-class,660990,268
'hvordan','how',35,660,closed-class items,closed-class,435967,33
'hvorfor','why',30,580,closed-class items,closed-class,187443,40
'når','when',32,620,closed-class items,closed-class,1086512,123
'av','by',26,440,closed-class items,closed-class,7737060,208
'bak','behind',26,400,closed-class items,closed-class,156733,25
'bort','away',26,480,closed-class items,closed-class,118510,69
'borte','away',20,180,closed-class items,closed-class,56747,56
'der','there',19,60,closed-class items,closed-class,742743,1206
'for','for',33,600,closed-class items,closed-class,6939412,521
'foran','in front of',29,540,closed-class items,closed-class,95023,11
'fra','from',30,560,closed-class items,closed-class,2696389,29
'frem','forward',33,620,closed-class items,closed-class,210978,7
'gjennom','through',28,560,closed-class items,closed-class,360696,4
'her','here',23,280,closed-class items,closed-class,1050636,423
'hit','here (hither)',26,480,closed-class items,closed-class,25403,14
'hjem','home',23,260,closed-class items,closed-class,105920,7
'hjemme','(at) home',24,360,closed-class items,closed-class,102855,6
'hos','at',29,540,closed-class items,closed-class,278021,18
'i','at',25,380,closed-class items,closed-class,15141908,548
'i stedet for','instead of',NA,NA,closed-class items,closed-class,32260,12
'inn','inside',23,200,closed-class items,closed-class,911258,61
'inne','inside',25,320,closed-class items,closed-class,117267,21
'inni','inside',26,400,closed-class items,closed-class,17319,42
'med','with',26,480,closed-class items,closed-class,6630707,329
'mot','towards/against',35,660,closed-class items,closed-class,849778,5
'ned','down',23,260,closed-class items,closed-class,368446,85
'nede','down(stairs)',26,460,closed-class items,closed-class,41226,10
'nedi','down in',29,560,closed-class items,closed-class,2754,9
'om','about',34,620,closed-class items,closed-class,3259965,137
'opp','up',21,160,closed-class items,closed-class,1016524,139
'oppå','on top of',26,440,closed-class items,closed-class,8110,58
'oppe','up(stairs)',25,360,closed-class items,closed-class,42346,8
'oppi','up in',26,400,closed-class items,closed-class,11144,174
'over','over',29,540,closed-class items,closed-class,981095,17
'på','on',25,380,closed-class items,closed-class,9507635,1064
'til','to',26,440,closed-class items,closed-class,62579,376
'tilbake','back',30,580,closed-class items,closed-class,285663,30
'under','under',26,460,closed-class items,closed-class,543826,34
'ut','outside',20,120,closed-class items,closed-class,1371838,181
'ute','outside',23,220,closed-class items,closed-class,165881,62
'utenfor','outside',35,660,closed-class items,closed-class,113560,7
'utenpå','outside',35,680,closed-class items,closed-class,3592,5
'ved siden av','next to',32,620,closed-class items,closed-class,29117,1
'vekk','away',25,380,closed-class items,closed-class,43417,10
'alle','everyone',25,380,closed-class items,closed-class,304512,15
'alt','everything',28,520,closed-class items,closed-class,375299,29
'andre','other(s)',32,580,closed-class items,closed-class,72801,13
'den','it/that',20,180,closed-class items,closed-class,3887740,1619
'det','it/that',26,460,closed-class items,closed-class,11291491,4917
'ei','a',NA,680,closed-class items,closed-class,120367,1
'en','a',26,460,closed-class items,closed-class,11415112,1019
'en annen','another',32,600,closed-class items,closed-class,1478707,28
'et','a',31,560,closed-class items,closed-class,3151715,3
'hver','each',34,640,closed-class items,closed-class,396195,6
'hvert','each',NA,NA,closed-class items,closed-class,143732,3
'ikke','not',22,200,closed-class items,closed-class,5202279,893
'ingen','no one',26,460,closed-class items,closed-class,147321,15
'ingenting','nothing',26,440,closed-class items,closed-class,70201,7
'litt','a little',26,400,closed-class items,closed-class,821994,405
'mange','many',25,340,closed-class items,closed-class,1748921,86
'mer','more',19,100,closed-class items,closed-class,1529227,2
'mye','a lot',26,420,closed-class items,closed-class,2742433,166
'noe','something',32,620,closed-class items,closed-class,744491,349
'noen','someone',32,620,closed-class items,closed-class,414688,277
'også','too',28,540,closed-class items,closed-class,1680324,292
'samme','same',29,540,closed-class items,closed-class,434827,21
'å bli','be(come)',28,520,closed-class items,closed-class,3721974,178
'bør','should',NA,NA,closed-class items,closed-class,324893,1
'å burde','should',NA,NA,closed-class items,closed-class,469501,4
'er','is',26,420,closed-class items,closed-class,12115790,15
'få','get',24,260,closed-class items,closed-class,2396707,287
'gjør','does',28,480,closed-class items,closed-class,475020,320
'gjorde','did',31,600,closed-class items,closed-class,149517,52
'å gjøre','do',27,440,closed-class items,closed-class,1340396,488
'å ha','have',23,280,closed-class items,closed-class,73111,1174
'hadde','had',30,560,closed-class items,closed-class,1000755,2
'har','has',26,460,closed-class items,closed-class,6229512,10
'kan','can',26,420,closed-class items,closed-class,2851732,3
'å kunne','could',NA,680,closed-class items,closed-class,3456913,742
'å la','let',34,640,closed-class items,closed-class,170816,7
'må','have to',26,460,closed-class items,closed-class,1121332,5
'å måtte','had to',34,620,closed-class items,closed-class,1355908,242
'skal','will',26,440,closed-class items,closed-class,1837061,3
'å skulle','would',34,660,closed-class items,closed-class,2295140,1152
'å være','be',29,560,closed-class items,closed-class,16594833,4419
'var','was',32,600,closed-class items,closed-class,2446938,6
'vil','wanna/want to',25,380,closed-class items,closed-class,1814650,4
'å ville','would',32,620,closed-class items,closed-class,2183940,161
'at','that',32,600,closed-class items,closed-class,6016756,215
'eller','or',31,580,closed-class items,closed-class,1705360,210
'for','for',34,620,closed-class items,closed-class,352478,521
'fordi','because',34,640,closed-class items,closed-class,320966,12
'hvis','if',35,660,closed-class items,closed-class,498529,86
'men','but',33,600,closed-class items,closed-class,3015440,444
'og','and',25,400,closed-class items,closed-class,16079937,1074
'så','then',31,580,closed-class items,closed-class,2141716,900
'som','that',32,600,closed-class items,closed-class,5486715,402
