Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Саблино. IN: Ульяновка, Ленинградская область. Петербург	Саблино	Саблино	Санкт-Петербург	Петербург	1921	1	59.6415022	30.7002484
Одесса	Одесса	Одесса	Украина, Одесса	Украина, Молдавия, Белоруссия, Польша, Литва	1821	7	46.486111	30.727778
Одесса	Одесса	Одесса	Украина, Одесса	Украина, Молдавия, Белоруссия, Польша, Литва	1901	1	46.486111	30.727778
Одесса	Одесса	Одесса	Украина, Одесса	Украина, Молдавия, Белоруссия, Польша, Литва	1911	3	46.486111	30.727778
Одесса	Одесса	Одесса	Украина, Одесса	Украина, Молдавия, Белоруссия, Польша, Литва	1921	1	46.486111	30.727778
Одесса	Одесса	Одесса	Украина, Одесса	Украина, Молдавия, Белоруссия, Польша, Литва	1951	3	46.486111	30.727778
Одесса. Яссы	Одесса. Яссы	Одесса	Украина, Одесса	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	46.486111	30.727778
Дофиновка. IN: Одесская область	Дофиновка	Дофиновка	Украина, Одесса	Украина, Молдавия, Белоруссия, Польша, Литва	1851	1	46.5728312	30.8936216
Гомель	Гомель	Гомель	Белоруссия	Украина, Молдавия, Белоруссия, Польша, Литва	1941	1	52.441667	30.983333
Новобелица. IN: Гомель	Гомель	Гомель	Белоруссия	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	52.441667	30.983333
Великий Новгород	Великий Новгород	Великий Новгород	Великий Новгород	Северо-Запад	1871	2	58.525	31.275
Великий Новгород	Великий Новгород	Великий Новгород	Великий Новгород	Северо-Запад	1881	1	58.525	31.275
Великий Новгород	Великий Новгород	Великий Новгород	Великий Новгород	Северо-Запад	1901	1	58.525	31.275
Хелуан. IN: Египет	Египет	Египет	Египет	Средиземноморье	1911	1	29.8380171	31.2924133
Старая Русса	Старая Русса	Старая Русса	Великий Новгород	Северо-Запад	1901	1	57.983333	31.35
Слепнево	Слепнево	Слепнево	Тверь	Северо-Запад	1911	51	56.807077	31.3524389
Слепнево	Слепнево	Слепнево	Тверь	Северо-Запад	2_decades	2	56.807077	31.3524389
Слепнево	Слепнево	Слепнево	Тверь	Северо-Запад	3_decades	1	56.807077	31.3524389
Слепнево (from date)	Слепнево	Слепнево	Тверь	Северо-Запад	1911	1	56.807077	31.3524389
Николаев	Николаев	Николаев	Украина, Николаев	Украина, Молдавия, Белоруссия, Польша, Литва	1911	1	46.975033	31.994577
Волма. IN: Станция Торбино, Новгородская область	Волма	Волма	Великий Новгород	Северо-Запад	1911	1	58.4485805	32.721869
Глушино	Глушино	Глушино	Великий Новгород	Северо-Запад	1921	4	58.50667	32.77361
Обуховы	Обуховы	Обуховка	Украина, Полтава	Украина, Молдавия, Белоруссия, Польша, Литва	1811	1	48.2817379	32.8064988
