Location	Coarse	Coarse.1stMention	Region	Region2	Decade	Freq	N	E
Эртелево	Эртелево	Хутор Эртель	Воронеж	Южные области	1931	2	51.8454475	39.7509798
Ярославль	Ярославль	Ярославль	Ярославль	Центр России	1801	1	57.616667	39.85
Вологда	Вологда	Вологда	Вологда	Север	1831	1	59.216667	39.9
Вологда	Вологда	Вологда	Вологда	Север	1901	7	59.216667	39.9
Вологда. Тотьма	Вологда. Тотьма	Вологда	Вологда	Север	1901	1	59.216667	39.9
Красная Поляна	Красная Поляна	Красная Поляна	Краснодар	Черное море	1911	2	43.678611	40.205278
Грязовец	Грязовец	Грязовец	Вологда	Север	1901	1	58.883333	40.25
Архангельск	Архангельск	Архангельск	Архангельск	Север	1921	1	64.55	40.533333
Новый Афон	Новый Афон	Новый Афон	Абхазия	Кавказ	1931	1	43.083333	40.8
Сухуми	Сухуми	Сухуми	Абхазия	Кавказ	1821	1	43.0182037	40.9352613
Ильиновка. IN: Тамбовская область	Тамбовская область	Ильиновка	Тамбов	Южные области	1901	1	53.2511069	40.9558074
Ильиновка. IN: Тамбовская область	Тамбовская область	Ильиновка	Тамбов	Южные области	1891	8	53.2511069	40.9558074
Ильиновка. IN: Тамбовская область	Тамбовская область	Ильиновка	Тамбов	Южные области	1901	2	53.2511069	40.9558074
IN: Минское. Кострома, Костромская область	Княжнино	Княжнино	Кострома	Центр России	1911	1	57.6948262	41.006496
Тамбов	Тамбов	Тамбов	Тамбов	Южные области	1891	5	52.716667	41.433333
Тамбов	Тамбов	Тамбов	Тамбов	Южные области	1901	5	52.716667	41.433333
Батуми	Батуми	Батуми	Грузия	Кавказ	1881	1	41.645833	41.641667
Батуми	Батуми	Батуми	Грузия	Кавказ	1921	3	41.645833	41.641667
озеро Баклан. IN: Ростовская область	озеро Баклан	озеро Баклан	Ростов-на-Дону	Южные области	1921	1	47.5480011	42.0447777
Муром	Муром	Муром	Владимир	Центр России	1831	1	55.5725	42.051389
Большой Карай. IN: Романовский район, Саратовская область	Большой Карай	Большой Карай	Саратов	Поволжье	1911	1	51.596307	42.673327
Кутаиси	Кутаиси	Кутаиси	Грузия	Кавказ	1931	1	42.25	42.7
