Adjective,Base_verb,Demotivation,Last_consonant,Theme_vowel,Allomorphy,Meaning,Possible_nominal_base
exhortativo,exhortar,N,t,yes,R,A,N
existimativo,existimar,N,t,yes,R,A,N
expiativo,expiar,N,t,yes,R,A,N
explicativo,explicar,N,t,yes,R,A,N
expositivo,exponer,N,t,no,I,A,N
extenuativo,extenuar,N,t,yes,R,A,N
extintivo,extinguir,N,t,no,I,A,EXTINTO
fecundativo,fecundar,N,t,yes,R,A,N
federativo,federar,N,t,yes,R,A,N
fermentativo,fermentar,N,t,yes,R,A,N
figurativo,figurar,N,t,yes,R,A,N
fijativo,fijar,N,t,yes,R,A,N
formativo,formar,N,t,yes,R,A,N
frecuentativo,frecuentar,N,t,yes,R,A,N
generativo,generar,N,t,yes,R,A,N
germinativo,germinar,N,t,yes,R,A,N
gobernativo,gobernar,N,t,yes,R,A,N
gravativo,gravar,N,t,yes,R,A,N
gustativo,gustar,Y,t,yes,R,A,N
horripilativo,horripilar,N,t,yes,R,A,N
iluminativo,iluminar,N,t,yes,R,A,N
ilustrativo,ilustrar,N,t,yes,R,A,N
imaginativo,imaginar,N,t,yes,R,A,N
imitativo,imitar,N,t,yes,R,A,N
impeditivo,impedir,N,t,yes,R,A,N
imperativo,imperar,N,t,yes,R,A,N
impugnativo,impugnar,N,t,yes,R,A,N
incitativo,incitar,N,t,yes,R,A,N
inclinativo,inclinar,N,t,yes,R,A,N
indicativo,indicar,N,t,yes,R,A,N
inductivo,inducir,N,t,yes,I,A,N
instaurativo,instaurar,N,t,yes,R,A,N
instructivo,instruir,N,t,no,I,A,N
interpretativo,interpretar,N,t,yes,R,A,N
interrogativo,interrogar,N,t,yes,R,A,N
intuitivo,intuir,N,t,yes,R,A,N
inventivo,inventar,N,t,no,R,A,INVENTO
iterativo,iterar,N,t,yes,R,A,N
judicativo,judicar,N,t,yes,R,A,N
justificativo,justificar,N,t,yes,R,A,N
laudativo,laudar,N,t,yes,R,A,N
lavativo,lavar,N,t,yes,R,A,N
